Kommunenavn ,Fornavn ,Efternavn ,Parti ,Periode,Indbyggertal
Gjern ,Sven Møller ,Jensen ,Socialdemokratiet ,1986-1989 
Gjern ,Per ,Kromann ,Venstre ,1990-2000 
Gjern ,Ella ,Porskær ,Venstre ,2000-2006 
Gladsaxe ,Erhard ,Jacobsen ,Socialdemokratiet ,1970-1974 
Gladsaxe ,Tove ,Smidth ,Socialdemokratiet ,1974-1983 
Gladsaxe ,Ole ,Andersen ,Socialdemokratiet ,1983-2002 
Gladsaxe ,Karin Søjberg ,Holst ,Socialdemokratiet ,2002-2017 
Gladsaxe ,Trine ,Græse ,Socialdemokratiet ,2017- 
Glamsbjerg ,Helge ,Nielsen ,Venstre ,1970-1974 
Glamsbjerg ,Bent ,Møller ,Venstre ,1974-1985 
Glamsbjerg ,Hans ,Stougaard ,Det Konservative Folkeparti ,1985-1989 
Glamsbjerg ,Ankjær ,Stenskrog ,Venstre ,1990-2006 
Glostrup ,Martin ,Nielsen ,Socialdemokratiet ,1970-1983 
Glostrup ,Gunner ,Larsen ,Socialdemokratiet ,1983-2000 
Glostrup ,Søren ,Enemark ,Socialdemokratiet ,2000-2009 
Glostrup ,John ,Engelhart ,Venstre ,2010- 
Gram ,Jes Nielsen ,Schmidt ,Lokalliste ,1970-1974 
Gram ,Hans ,Rossen ,Det Konservative Folkeparti ,1974-1978 
Gram ,Anton ,Paulsen ,Venstre ,1978-1989 
Gram ,Hans Peter ,Geil ,Venstre ,1990-2006 
Grenå ,Aksel H. ,Hansen ,Socialdemokratiet ,1970-1976 
Grenå ,Børge ,Kildahl ,Venstre ,1976-1978 
Grenå ,Arne ,Jessen ,Socialdemokratiet ,1978-1997 
Grenå ,Gert ,Schou ,Socialdemokratiet ,1998-2006 
Greve ,Johannes ,Hansen ,Venstre ,1970
Greve ,Jørgen ,Bach ,Venstre ,1970-1981 
Greve ,Knud Erik ,Ullerichs ,Det Konservative Folkeparti ,1982-1989 
Greve ,Birthe Nørgård ,Petersen ,Socialdemokratiet ,1990-1993 
Greve ,Ren√© ,Milo ,Venstre ,1994-2005 
Greve ,Hans ,Barlach ,Det Konservative Folkeparti ,2006-2013 
Greve ,Pernille ,Beckmann ,Venstre ,2014- 
Gribskov ,Jannich ,Petersen ,Venstre ,2007-2009 
Gribskov ,Jan ,Ferdinandsen ,Det Konservative Folkeparti ,2010-2013 
Gribskov ,Kim ,Valentin ,Venstre ,2014-2017 
Gribskov ,Anders Gerner ,Frost ,Lokalliste ,2018- 
Grindsted ,Anders Christian ,Andersen ,Venstre ,1970-1981 
Grindsted ,Jens Robert Brink ,Pedersen ,Venstre ,1982-1993 
Grindsted ,Poul ,Køppen ,Socialdemokratiet ,1994-2001 
Grindsted ,Ib ,Kristensen ,Venstre ,2002-2006 
Græsted-Gilleleje ,Oluf ,Petersen ,Venstre ,1970-1977 
Græsted-Gilleleje ,Henning ,Holm ,Det Konservative Folkeparti ,1977-1978 
Græsted-Gilleleje ,Børge ,Skovbjerg ,Venstre ,1978-1981 
Græsted-Gilleleje ,Svend Aage ,Nielsen ,Socialdemokratiet ,1982-1989 
Græsted-Gilleleje ,Jannich ,Petersen ,Venstre ,1990-2006 
Gråsten ,Anton Andresen ,Matthiesen ,Det Konservative Folkeparti ,1970-1981 
Gråsten ,Uwe ,Nannsen ,Socialdemokratiet ,1982-1989 
Gråsten ,Peter ,Brodersen ,Venstre ,1990-1993 
